Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 00:00:05.988,114257.1,0.008,BTCUSDT
2025-09-30 00:00:06.138,114257.0,0.805,BTCUSDT
2025-09-30 00:00:06.138,114257.0,0.5,BTCUSDT
2025-09-30 00:00:06.138,114257.0,0.314,BTCUSDT
2025-09-30 00:00:06.138,114257.0,0.314,BTCUSDT
2025-09-30 00:00:06.138,114257.0,0.314,BTCUSDT
2025-09-30 00:00:06.138,114257.0,0.314,BTCUSDT
2025-09-30 00:00:06.138,114257.0,0.278,BTCUSDT
2025-09-30 00:00:06.138,114257.0,0.314,BTCUSDT
2025-09-30 00:00:06.138,114257.0,0.61,BTCUSDT
2025-09-30 00:00:06.138,114257.0,0.314,BTCUSDT
2025-09-30 00:00:06.138,114257.0,0.372,BTCUSDT
2025-09-30 00:00:06.356,114257.0,0.001,BTCUSDT
2025-09-30 00:00:06.356,114257.0,0.04,BTCUSDT
2025-09-30 00:00:06.356,114257.0,0.001,BTCUSDT
2025-09-30 00:00:06.356,114257.0,0.001,BTCUSDT
2025-09-30 00:00:06.356,114257.0,0.045,BTCUSDT
2025-09-30 00:00:06.391,114257.1,0.009,BTCUSDT
2025-09-30 00:00:06.394,114257.1,0.011,BTCUSDT
2025-09-30 00:00:06.441,114257.0,0.003,BTCUSDT
2025-09-30 00:00:06.575,114257.1,0.007,BTCUSDT
2025-09-30 00:00:06.627,114257.0,0.055,BTCUSDT
2025-09-30 00:00:06.627,114257.0,0.103,BTCUSDT
2025-09-30 00:00:06.627,114257.0,0.138,BTCUSDT
2025-09-30 00:00:06.627,114257.0,0.138,BTCUSDT
2025-09-30 00:00:06.627,114257.0,0.118,BTCUSDT
2025-09-30 00:00:06.627,114257.0,0.001,BTCUSDT
2025-09-30 00:00:06.627,114257.0,0.064,BTCUSDT
2025-09-30 00:00:06.627,114257.0,0.118,BTCUSDT
2025-09-30 00:00:06.627,114257.0,0.031,BTCUSDT
2025-09-30 00:00:06.627,114257.0,0.064,BTCUSDT
2025-09-30 00:00:06.627,114257.0,0.064,BTCUSDT
2025-09-30 00:00:06.627,114257.0,0.064,BTCUSDT
2025-09-30 00:00:06.627,114257.0,0.064,BTCUSDT
2025-09-30 00:00:06.627,114257.0,0.125,BTCUSDT
2025-09-30 00:00:06.627,114257.0,0.27,BTCUSDT
2025-09-30 00:00:06.627,114257.0,0.001,BTCUSDT
2025-09-30 00:00:06.627,114257.0,0.042,BTCUSDT
2025-09-30 00:00:06.627,114257.0,0.001,BTCUSDT
2025-09-30 00:00:06.627,114257.0,0.001,BTCUSDT
2025-09-30 00:00:06.627,114257.0,0.087,BTCUSDT
2025-09-30 00:00:06.627,114257.0,0.087,BTCUSDT
2025-09-30 00:00:06.627,114257.0,0.08,BTCUSDT
2025-09-30 00:00:06.627,114257.0,0.469,BTCUSDT
2025-09-30 00:00:06.627,114257.0,0.47,BTCUSDT
2025-09-30 00:00:06.627,114257.0,0.223,BTCUSDT
2025-09-30 00:00:06.627,114257.0,0.001,BTCUSDT
2025-09-30 00:00:06.627,114257.0,0.153,BTCUSDT
2025-09-30 00:00:06.627,114257.0,0.065,BTCUSDT
2025-09-30 00:00:06.627,114257.0,0.177,BTCUSDT
2025-09-30 00:00:06.627,114257.0,0.158,BTCUSDT
2025-09-30 00:00:06.627,114257.0,0.375,BTCUSDT
2025-09-30 00:00:06.627,114257.0,0.25,BTCUSDT
2025-09-30 00:00:06.627,114257.0,0.178,BTCUSDT
2025-09-30 00:00:06.627,114257.0,0.208,BTCUSDT
2025-09-30 00:00:06.627,114257.0,0.176,BTCUSDT
2025-09-30 00:00:06.627,114257.0,0.652,BTCUSDT
2025-09-30 00:00:06.627,114257.0,0.495,BTCUSDT
2025-09-30 00:00:06.627,114257.0,1.0,BTCUSDT
2025-09-30 00:00:06.627,114257.0,0.001,BTCUSDT
2025-09-30 00:00:06.627,114257.0,0.005,BTCUSDT
2025-09-30 00:00:06.627,114257.0,0.002,BTCUSDT
2025-09-30 00:00:06.627,114257.0,0.002,BTCUSDT
2025-09-30 00:00:06.627,114257.0,0.514,BTCUSDT
2025-09-30 00:00:06.627,114257.0,0.5,BTCUSDT
2025-09-30 00:00:06.627,114257.0,0.002,BTCUSDT
2025-09-30 00:00:06.627,114257.0,0.002,BTCUSDT
2025-09-30 00:00:06.627,114257.0,0.002,BTCUSDT
2025-09-30 00:00:06.627,114257.0,0.002,BTCUSDT
2025-09-30 00:00:06.627,114257.0,0.014,BTCUSDT
2025-09-30 00:00:06.627,114257.0,0.006,BTCUSDT
2025-09-30 00:00:06.627,114257.0,0.001,BTCUSDT
2025-09-30 00:00:06.627,114257.0,0.009,BTCUSDT
